mz,intensity,rt
459.95899,41180,626.4
130.96658,14534,1059.6
443.30696,39194,610.8
228.14038,28509,595.8
560.38002,42473,681
126.1124,7537,57.6
214.14296,11156,66.6
547.40293,49880,1065.6
398.08678,28142,135
288.29982,175200,807.6
122.07121,20797,57.6
421.29779,35647,921.6
288.30721,135404,807.6
400.16519,53090,475.8
213.08582,38768,538.8
234.17446,41187,732
285.20431,66855,717
256.31346,41960,909
596.88108,27492,575.4
539.41457,81452,1108.8
380.73598,78573,466.8
543.29562,170551,404.4
317.11037,500156,774
279.16382,7474317,111
356.04759,336808,460.8
166.11861,70483,192
489.22329,39632,341.4
176.97401,251889,41.4
381.72558,70674,378.6
455.11375,102030,499.8
563.27098,47343,729.6
248.97855,85506,581.4
449.09291,509494,228
318.21737,45932,364.2
271.02466,62125,228
480.95634,26922,665.4
349.1488,17265,41.4
406.09362,59951,352.8
304.28289,31638,592.8
242.11742,73780,378.6
312.16073,1461860,729.6
314.16903,10972,165
172.07164,2550106,138
239.13808,13353,231.6
123.08496,26713,78
644.4554,25436,496.8
340.05727,104988,604.8
398.11177,64345,493.8
240.09598,8305014,303
590.42598,265068,1062.6
278.09199,3605188,572.4
414.05244,161453,277.8
171.09936,147085,265.8
234.19626,136101,364.2
532.32082,323530,330.6
267.17205,2851245,896.4
322.2128,804856,271.8
498.1943,391458,490.2
296.26957,42064,681
136.10965,31717,237
233.18531,139485,89.4
186.22166,291556,610.8
244.13408,71718,487.2
402.28902,24878,1105.8
632.80537,47578,92.4
343.16721,48989,795.6
228.11301,10709,156.6
678.44641,49218,624
477.11756,52660,336
253.05514,97430,141
289.12374,94531,475.8
132.04958,14473,168.6
264.13814,145047,708.6
380.09873,2083346,693
354.23652,28105,297.6
404.20686,10448701,659.4
591.71032,35643,747
385.20851,297779,921.6
288.10888,28771,499.8
301.09072,285842,538.8
292.04932,252096,361.8
239.12671,33712,424.2
522.0141,59623,677.4
404.19498,57639,659.4
271.04647,26582,577.8
516.33924,33802,589.8
282.16024,169915,546.6
431.20938,533080,300.6
549.35151,23371,598.8
161.08086,46779,295.2
155.12906,189796,104.4
242.16398,55010,529.8
342.73252,40550,390
299.18621,25646,350.4
304.26384,19290432,592.8
304.3044,60103,844.8
746.42621,23250,921.6
151.0865,2018599,355.8
312.08203,53040,361.8
150.12725,20348,101.4
917.52863,42017,511.8
463.30282,688398,1062.6
612.90367,45164,610.8
239.08895,104545,319.8
130.15879,49632,448.8
164.20935,20298,92.4
381.23765,27098,466.8
522.22223,55902,373.2
551.02979,33991,684
305.1595,27329,668.4
158.09642,20762,271.8
297.04026,1077776,387.6
141.08136,17618,117
565.37063,318345,448.8
606.42628,150960,1108.8
232.11764,29606,243
188.06994,12447413,361.8
486.29592,442236,549.6
353.11376,100615,63.6
737.50172,196797,1105.8
174.07583,19446,108
304.24079,19050,592.8
232.15546,37191,165
535.32989,33261,514.8
232.17701,16428,165
446.2843,184063,1105.8
485.23987,49909,732
216.19543,56476,561
425.1502,684289,523.8
581.8761,23721,604.8
560.26324,71244,771
450.26955,40674,347.4
213.06701,41236,655.8
246.12826,155427,243
226.10228,91427,168.6
326.21661,56441,305.4
255.1462,2572029,563.4
149.02301,83439,561
626.41756,48952,696
352.11907,1288928,496.8
141.08322,12055,117
119.08118,1002268,57.6
415.32338,50142,1059.6
300.1597,11592256,174.6
169.13315,32543,114
264.20124,35101,412.8
403.25156,27846,472.8
532.8523,116601,514.8
293.11066,301801,737.4
570.37542,24504,717
456.26771,514279,330.6
238.1434,23876,838.8
157.01451,86966,60.6
169.0834,12301,1022.4
430.16916,222324,526.8
213.14629,36866,543.6
542.4259,214360,1053.6
178.12272,287360,108
238.15097,4782711,614.4
153.10726,39691,213
285.1721,38079,336
202.96684,77868,69
398.30599,26026,1105.8
220.12055,32168,308.4
262.19072,50944,177.6
578.28348,42116,729.6
194.11746,33692,355.8
309.20376,975632,962.4
176.12796,40490,367.2
333.1486,22939,162.6
195.13931,33743,546.6
416.08272,28809,496.8
189.07311,788609,361.8
228.27986,46575,759
430.28185,159152,421.8
412.30727,18622,1053.6
283.87695,36355,620.4
566.69623,22669,783.6
356.24619,171408,457.8
157.04083,164142,60.6
291.08822,47886,817.2
287.2316,374509,347.4
431.16176,86309,575.4
386.17458,1371322,289.2
591.38312,24401,747
178.91027,15761,44.4
225.1096,20639,367.2
204.14403,3627508,256.8
222.02339,366996,117
256.01528,11095423,352.8
125.09595,55270,376.2
268.20856,54914,330.6
390.04206,36089,437.4
383.18206,27928,924.6
310.19857,58827,532.8
365.14586,22237,490.2
861.51917,84309,629.4
557.68676,32513,714.6
316.18511,30301,231.6
276.10879,32997,370.2
144.11468,85453,44.4
295.23589,60025,563.4
258.12108,130451,156.6
246.12578,1027636,344.4
216.12266,15631,108
160.03346,193159,60.6
288.27719,123006,807.6
135.54886,15412,162.6
463.20251,46943,620.4
370.21091,39910,256.8
404.42888,2852464,641.4
228.24641,79382,762
310.25156,45214,535.8
320.2759,5404770,532.8
254.1375,57737,563.4
269.11717,45171,295.2
452.27535,77753,401.4
370.17785,64976,268.8
288.20098,154989,454.8
144.94805,31865,1405.8
220.11593,524597,347.4
218.21121,213802,418.8
593.24009,41996,344.4
134.07561,29560,316.8
266.14733,23671,684
190.06682,4037163,361.8
650.91125,26316,693
295.16702,1051725,909
487.10273,35253,659.4
192.11123,23159,300.6
185.13606,29461,89.4
200.11446,65399,472.8
213.12128,414817,213
795.8915,19377,98.4
124.07549,29868,268.8
239.1616,270840,740.4
436.23308,109938,690
363.20385,34333,626.4
273.18866,634594,262.8
198.14336,97768,316.8
317.15794,151616,153.6
215.25612,219634,783.6
232.15697,32784,165
505.23499,167081,487.2
156.15742,233686,183.6
216.09803,175953,529.8
212.06494,46871,538.8
150.09105,14369,890.4
278.1737,34631,552.6
550.36122,19231,937.2
310.20663,17488,41.4
293.2223,73011,502.8
214.14473,167412,437.4
385.76833,38260,505.8
278.95575,44095,671.4
245.07825,13822,940.2
412.76273,96052,629.4
255.23153,248052,823.2
451.60823,50937,460.8
593.36159,38996,626.4
170.9629,64503,41.4
304.28537,24966,595.8
577.36654,1034497,437.4
144.94804,396223,41.4
216.12282,88131,352.8
450.37717,40190,921.6
316.10929,857331,370.2
130.16084,44715,219
565.35915,60553,344.4
271.04837,38348,396
198.15289,43274,316.8
177.95579,15282,12.6
237.09781,134028,490.2
447.23545,1803458,581.4
457.29133,20226,909
578.37358,80254,373.2
206.08124,747901,783.6
210.11672,145058,440.4
159.09125,13624,256.8
172.13641,19046,234
251.18284,2197742,319.8
239.12547,57142,313.8
311.21132,1639957,592.8
310.12955,41396,592.8
289.13231,156163,903
395.21292,77558,575.4
523.83457,38615,517.8
249.00683,59837,361.8
315.21807,93130,445.8
233.1521,15933,165
290.18624,21076,150
148.16337,29618,355.8
380.09321,296130,717
394.13643,55071,51
325.09689,1392225,440.4
446.12749,28847,940.2
583.39128,16616,1125
488.8346,22638,1102.8
253.15612,23240,448.8
178.07917,93253,277.8
651.18593,87546,370.2
426.27023,27101,581.4
708.47296,26826,499.8
212.25288,62173,373.2
391.22241,221134,747
310.23505,60462,912.6
239.05864,36326,481.8
277.26331,26646,177.6
256.2269,245370,577.8
256.02293,23269,350.4
328.26133,48043,231.6
410.3101,45193,409.8
206.99012,1706384,532.8
364.05836,69769,813.6
242.15438,48521,529.8
547.35158,41150,740.4
365.2201,352734,681
641.42331,59908,655.8
467.30759,23400,708.6
300.13994,141256,286.2
162.96901,24698,177.6
560.88213,32443,687
145.12195,168164,373.2
196.14421,504469,66.6
314.15774,346835,729.6
214.08301,1004127,523.8
437.19274,226908,768
280.03103,27398,592.8
509.1829,45074,575.4
204.15922,30900,457.8
235.23293,30945,277.8
256.05943,5449164,308.4
830.22608,223973,624
361.18284,20655,210
246.05239,201924,460.8
429.29796,28257,526.8
267.15835,19753,514.8
298.29509,25204,649.8
271.23586,3957114,322.8
484.25782,37219,487.2
542.02011,23212,617.4
263.21157,201547,384.6
293.2079,27088,96
238.14833,168483,632.4
388.11338,18816,138
336.04609,293860,426.6
531.34561,36617,555
479.11227,81813,396
402.02836,70361,732
531.2965,129888,174.6
273.1824,40771,896.4
512.83007,26084,418.8
489.81595,1102844,412.8
232.4958,22261,165
410.11435,200716,381.6
289.19906,69184,662.4
721.32008,492729,835.8
427.10921,1702897,624
318.10453,40783,774
400.07104,38739,662.4
161.09645,21748,129
289.29848,134348,804.6
659.40168,497328,900
528.37143,93664,399
238.15531,46385,614.4
252.14652,17333,900
538.01408,27650,677.4
286.10328,47471,325.2
285.13292,27322,659.4
425.17604,106080,440.4
540.41712,22908,1108.8
232.15448,37296,484.2
368.75639,330222,390
154.09907,71506,213
305.16541,43063,333
302.19429,19777,98.4
567.69286,26347,505.8
370.16807,76300,254.4
331.22401,37124,1056.6
256.11702,41517,569.4
264.16641,46127,322.8
144.09159,15786,44.4
558.33037,78809,432
198.14494,98270,319.8
421.09731,231890,437.4
234.13565,42733,502.8
364.10672,552885,546.6
336.09422,83364,717
205.12209,43485,584.4
447.34789,518338,549.6
382.1378,37886,51
285.111,1621719,249
243.97043,38701,259.8
285.16766,216194,451.8
279.10099,310824,399
262.12012,28536,617.4
564.35852,398783,344.4
495.33626,15747,1180.8
616.42664,77835,415.8
331.09052,23294,135
577.32831,77132,448.8
243.17013,115125,297.6
331.14042,276006,496.8
234.13196,499571,344.4
382.24093,8725276,563.4
419.31435,77242,1383.6
599.72798,20392,717
286.18393,1454707,336
